1E-05	0.00179584
1.097499E-05	0.001694922
1.204504E-05	0.001585864
1.321941E-05	0.001470799
1.450829E-05	0.001352064
1.592283E-05	0.001232028
1.747528E-05	0.001112968
1.91791E-05	0.0009969384
2.104904E-05	0.0008857024
2.31013E-05	0.000780669
2.535364E-05	0.0006828854
2.782559E-05	0.0005930391
3.053856E-05	0.0005114916
3.351603E-05	0.0004383171
3.67838E-05	0.0003733549
4.037017E-05	0.0003162567
4.430621E-05	0.0002665373
4.862602E-05	0.0002236155
5.336699E-05	0.0001868543
5.857021E-05	0.000155592
6.428073E-05	0.0001291695
7.054802E-05	0.0001069533
7.742637E-05	8.835143E-05
8.497534E-05	7.282531E-05
9.326033E-05	5.989607E-05
0.0001023531	4.914748E-05
0.0001123324	4.022295E-05
0.0001232847	3.282183E-05
0.0001353048	2.669295E-05
0.0001484968	2.162716E-05
0.0001629751	1.745051E-05
0.000178865	1.401809E-05
0.0001963041	1.120807E-05
0.0002154435	8.917934E-06
0.0002364489	7.060744E-06
0.0002595024	5.562529E-06
0.0002848036	4.360567E-06
0.0003125716	3.40163E-06
0.0003430469	2.640815E-06
0.0003764936	2.040475E-06
0.0004132012	1.569315E-06
0.0004534879	1.201459E-06
0.0004977024	9.156925E-07
0.0005462277	6.948192E-07
0.0005994843	5.249096E-07
0.0006579332	3.948243E-07
0.0007220809	2.956818E-07
0.0007924829	2.204614E-07
0.000869749	1.6365E-07
0.0009545485	1.209258E-07
0.001047616	8.893672E-08
0.001149757	6.509322E-08
0.001261857	4.739381E-08
0.001384886	3.431464E-08
0.001519911	2.469617E-08
0.001668101	1.765298E-08
0.001830738	1.252136E-08
0.002009233	8.802693E-09
0.002205131	6.123153E-09
0.002420128	4.204689E-09
0.002656088	2.840959E-09
0.002915053	1.87935E-09
0.003199267	1.208252E-09
0.003511192	7.448958E-10
0.003853529	4.297962E-10
0.004229243	2.196333E-10
0.004641589	8.266307E-11
0.005094138	-3.085067E-12
0.00559081	-5.423291E-11
0.006135907	-8.200766E-11
0.006734151	-9.410948E-11
0.007390722	-9.663736E-11
0.008111308	-9.307617E-11
0.008902151	-8.618119E-11
0.0097701	-7.762743E-11
0.01072267	-6.852714E-11
0.01176812	-5.948604E-11
0.0129155	-5.104868E-11
0.01417474	-4.337739E-11
0.01555676	-3.655166E-11
0.01707353	-3.060827E-11
0.01873817	-2.545734E-11
0.02056512	-2.108144E-11
0.0225702	-1.737278E-11
0.02477076	-1.426849E-11
0.02718588	-1.167755E-11
0.02983647	-9.534267E-12
0.03274549	-7.760734E-12
0.03593814	-6.301054E-12
0.03944206	-5.106054E-12
0.04328761	-4.131635E-12
0.0475081	-3.333961E-12
0.05214008	-2.687019E-12
0.05722368	-2.163918E-12
0.06280291	-1.73908E-12
0.06892612	-1.39715E-12
0.07564633	-1.120029E-12
0.08302176	-8.979709E-13
0.09111628	-7.191207E-13
0.1	-5.752194E-13
